时间,大项,比赛,场馆
30日09:00,篮球,女子预赛C组 比利时87:52波多黎各,埼玉超级竞技场
30日12:40,篮球,女子预赛B组 美国86:69日本,埼玉超级竞技场
30日16:20,篮球,女子预赛B组 法国87:62尼日利亚,埼玉超级竞技场
30日20:00,篮球,女子预赛C组 中国76:74澳大利亚,埼玉超级竞技场
30日16:00,足球,女子1/4决赛 加拿大0:0巴西,宫城体育场
30日17:00,足球,女子1/4决赛 英国3:4澳大利亚,茨城县立鹿嶋足球场
30日18:00,足球,女子1/4决赛 瑞典3:1日本,埼玉体育场
30日19:00,足球,女子1/4决赛 荷兰2:2美国,横滨国际综合竞技场
30日19:00,乒乓球,男子单打铜牌赛 林昀儒 VS 奥夫特查洛夫,东京体育馆
30日20:00,乒乓球,男子单打金牌赛 樊振东 VS 马龙,东京体育馆
30日08:00,羽毛球,女子单打1/4决赛 奥原 希望  VS 何冰娇,武藏野之森综合体育广场
30日08:45,羽毛球,女子单打1/4决赛 陈雨菲 VS 安洗莹,武藏野之森综合体育广场
30日09:30,羽毛球,混合双打铜牌赛 邓俊文/谢影雪 VS 渡边 雄太/东野 有纱,武藏野之森综合体育广场
30日14:30,羽毛球,混合双打金牌赛 郑思维/黄雅琼 VS 王懿律/黄东萍,武藏野之森综合体育广场
30日15:45,羽毛球,女子单打1/4决赛 普萨拉 VS 山口 茜,武藏野之森综合体育广场
30日16:30,羽毛球,女子单打1/4决赛 因达农·拉差诺 VS 戴资颖,武藏野之森综合体育广场
30日17:15,羽毛球,男子双打半决赛 王齐麟/李洋 VS 塞蒂亚万·亨德拉/阿赫桑·穆罕默德,武藏野之森综合体育广场
30日18:00,羽毛球,男子双打半决赛 苏佑益/嘉亚伦 VS 刘雨辰/李俊慧,武藏野之森综合体育广场
30日06:30,高尔夫,男子第2回合,霞关乡村俱乐部
30日08:00,排球,男子预赛 - A组 加拿大3:0委内瑞拉,有明竞技场
30日10:05,排球,男子预赛 - B组 巴西3:1美国,有明竞技场
30日13:20,排球,男子预赛 - A组 日本0:3波兰,有明竞技场
30日15:25,排球,男子预赛 - B组 阿根廷3:2突尼斯,有明竞技场
30日18:40,排球,男子预赛 - A组 意大利3:1伊朗,有明竞技场
30日20:45,排球,男子预赛 - B组 ROC1:3法国,有明竞技场
30日08:00,沙滩排球,女子预赛 - B组 罗斯/克兰曼2:1凯泽·桑娜/梅普林克·玛德琳,潮风公园
30日09:00,沙滩排球,男子预赛 - C组 罗西/卡兰布拉-劳里奇1:2格森/海德里希,潮风公园
30日10:00,沙滩排球,男子预赛 - E组 格里马尔特/格里马尔特2:0穆罕默德·阿比奇/祖海尔·埃尔·格劳伊,潮风公园
30日14:00,沙滩排球,女子预赛 - E组 阿塔乔/克兰西1:2玛克萝古佐娃 娜杰日达/霍洛明娜 斯韦特兰娜,潮风公园
30日15:00,沙滩排球,男子预赛 - F组 卢波/尼古拉2:1洛西亚克·巴托斯/坎特尔·皮特,潮风公园
30日16:00,沙滩排球,女子预赛 - B组 费尔南德斯·斯特內/巴克里索·麦克米兰0:2王鑫鑫/薛晨,潮风公园
30日19:00,沙滩排球,女子预赛 - E组 梅内加蒂/奥西-托特0:2埃切瓦里亚·贝尼特斯/马丁内斯·奥尔特加,潮风公园
30日20:00,沙滩排球,男子预赛 - E组 费杰莱克·格尔泽格斯/布瑞尔·迈克尔1:2奥斯卡·施密特/贡萨尔维斯·奥利维拉·儒尼奥尔,潮风公园
30日21:00,沙滩排球,男子预赛 - C组 艾哈迈德·蒂扬/谢里夫·尤努瑟2:0吉布/克拉布,潮风公园
30日11:00,棒球/垒球,棒球开幕分组循环赛A组 墨西哥0:1多米尼加,横滨棒球场
30日18:00,棒球/垒球,棒球开幕分组循环赛B组 美国8:1以色列,横滨棒球场
30日09:35,曲棍球,女子分组循环赛A组 南非1:4德国,大井曲棍球场
30日10:00,曲棍球,男子分组循环赛A组 澳大利亚1:1西班牙,大井曲棍球场
30日11:45,曲棍球,女子分组循环赛A组 爱尔兰0:1印度,大井曲棍球场
30日12:15,曲棍球,男子分组循环赛B组 加拿大4:4南非,大井曲棍球场
30日17:30,曲棍球,男子分组循环赛A组 日本3:5印度,大井曲棍球场
30日18:00,曲棍球,男子分组循环赛A组 阿根廷4:1新西兰,大井曲棍球场
30日19:45,曲棍球,男子分组循环赛B组 德国3:1荷兰,大井曲棍球场
30日20:15,曲棍球,男子分组循环赛B组 比利时2:2英国,大井曲棍球场
30日08:00,手球,男子预赛A组 阿根廷23:25巴西,国立代代木竞技场
30日10:00,手球,男子预赛B组 巴林32:30日本,国立代代木竞技场
30日13:15,手球,男子预赛A组 法国36:31西班牙,国立代代木竞技场
30日15:15,手球,男子预赛B组 瑞典22:27埃及,国立代代木竞技场
30日18:30,手球,男子预赛B组 葡萄牙28:34丹麦,国立代代木竞技场
30日20:30,手球,男子预赛A组 德国28:23挪威,国立代代木竞技场
30日08:00,橄榄球,女子分组循环赛B组 斐济41:5巴西,东京体育场
30日08:30,橄榄球,女子分组循环赛B组 加拿大0:31法国,东京体育场
30日09:00,橄榄球,女子分组循环赛C组 中国29:0日本,东京体育场
30日09:30,橄榄球,女子分组循环赛C组 澳大利亚12:14美国,东京体育场
30日10:00,橄榄球,女子分组循环赛A组 英国31:0肯尼亚,东京体育场
30日12:00,橄榄球,女子分组循环赛A组 新西兰33:0ROC,东京体育场
30日15:30,橄榄球,女子9-12名排名赛 加拿大45:0巴西,东京体育场
30日16:00,橄榄球,女子9-12名排名赛 肯尼亚21:17日本,东京体育场
30日16:30,橄榄球,女子1/4决赛 新西兰36:0ROC,东京体育场
30日17:30,橄榄球,女子1/4决赛 斐济14:12澳大利亚,东京体育场
30日18:00,橄榄球,女子1/4决赛 美国12:21英国,东京体育场
30日18:30,橄榄球,女子1/4决赛 法国24:10中国,东京体育场
30日14:00,网球,男子双打铜牌赛 桑德格伦/克拉切克 VS 维娜斯/丹尼尔,有明网球森林公园
30日14:00,网球,混合双打半决赛,有明网球森林公园
30日14:00,网球,混合双打半决赛,有明网球森林公园
30日14:00,网球,男子单打半决赛 哈昌诺夫 卡连 VS 卡雷诺·布斯塔,有明网球森林公园
30日14:00,网球,男子单打半决赛 德约科维奇 VS 兹维列夫,有明网球森林公园
30日14:00,网球,男子双打金牌赛 帕维奇/梅克蒂克 VS 多迪格/西里奇,有明网球森林公园
30日13:00,水球,女子预赛A组 南非1:33荷兰,东京辰巳国际游泳场水球中心
30日14:30,水球,女子预赛B组 美国18:5ROC,东京辰巳国际游泳场水球中心
